Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
46988,14,0104,SAMPLE,0.45,0104_46988,140.304,-7.765,93.64,8.235,-19.082119152253654,7.774131000710386,42.817631756003834,13.231523557824564
46989,15,0321,SAMPLE,0.495,0321_46989,130.713,-7.181,87.869,8.797,-18.444709595083108,8.36985843478803,36.42884944890285,11.316986282769362
46990,16,4715,SAMPLE,0.433,4715_46990,134.716,-7.458,90.42,8.151,-18.747042552850644,7.6850898895671085,42.83604126325844,13.29706264231518
46991,17,1313,SAMPLE,0.424,1313_46991,132.561,-5.342,86.628,9.09,-16.43752436282859,8.680442310561604,43.0904883074605,13.033382608164587
46992,18,2326,SAMPLE,0.431,2326_46992,133.821,-7.306,84.414,8.325,-18.58114143523091,7.869532191221039,42.76728257849995,12.50813387429313
46993,19,1256,SAMPLE,0.499,1256_46993,156.672,-6.115,111.269,8.874,-17.281218862302623,8.451479453336034,42.83908018067702,14.088792115618116
46994,20,1322,SAMPLE,0.416,1322_46994,123.355,-7.059,84.769,8.213,-18.31155211909885,7.75081070969667,41.06806393535899,13.011240039507054
46995,21,1639,SAMPLE,0.531,1639_46995,162.917,-7.808,107.377,7.898,-19.1290517052645,7.41690654290938,41.77264377651922,12.79233351782269
46996,22,4660,SAMPLE,0.421,4660_46996,138.17,-7.638,89.06,8.478,-18.943504402663486,8.031714215089153,45.114016614545314,13.478883751414331
46997,23,0725,SAMPLE,0.551,0725_46997,182.685,-7.438,113.721,8.115,-18.725213458426996,7.646929413362847,44.87854558632418,13.030823871271991
46998,24,0002,SAMPLE,0.541,0002_46998,156.932,-7.477,110.946,7.016,-18.76778019255311,6.481974875904964,39.575227426475266,12.958577588371334
46999,25,4315,SAMPLE,0.45,4315_46999,140.715,-6.638,95.241,9.052,-17.85204968148104,8.640161807901551,42.93530080155368,13.448699900484762
47000,26,4279,SAMPLE,0.422,4279_47000,118.359,-6.728,85.632,8.259,-17.95028060638746,7.799571318179894,38.958901253483994,12.95107986244441
47001,27,7777,SAMPLE,0.465,7777_47001,178.27,-7.63,120.178,8.582,-18.934772764894024,8.141955590790355,51.95542650120818,16.288465876726324
